DESCRIPCION,TAMAÑO,CODIGO_POSTAL,BARRIO,NUMERO
GALGO ESPAÑOL,Mediano,33205,El Coto,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33205,El Coto,5
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33207,El Polígono,14
AMERICAN PITBULL TERRIER,Mediano,33207,El Polígono,1
PITBULL TERRIER,Mediano,33211,Montevil,15
STAFFORDSHIRE BULL TERRIER,Mediano,33204,El Coto,7
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33204,El Coto,9
MESTIZO,Mediano,33210,Contrueces,1
ROTTWEILER,Mediano,33208,El Llano,10
DOGO ARGENTINO,Grande,33205,Centro,2
ROTTWEILER,Grande,33203,L' Arena,2
AMERICAN BULLY,Mediano,33212,El Natahoyo,2
AMERICAN BULLY,Mediano,33210,Pumarín,5
STAFFORDSHIRE BULL TERRIER,Grande,33210,Pumarín,1
AKITA INU,Mediano,33212,El Natahoyo,1
STAFFORDSHIRE BULL TERRIER,Pequeño,33210,El Llano,1
PITBULL TERRIER,Mediano,33209,Viesques,1
AKITA INU,Mediano,33208,El Llano,1
ROTTWEILER,Mediano,33208,Pumarín,4
PITBULL TERRIER,Grande,33211,Santa Bárbara,1
PITBULL TERRIER,Grande,33202,L' Arena,1
DOGO ARGENTINO,Mediano,33203,Somió,1
STAFFORDSHIRE BULL TERRIER,Mediano,33206,Centro,1
PITBULL TERRIER,Mediano,33205,El Llano,4
ROTTWEILER,Mediano,33393,L' Abadía Cenero,2
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33201,Cimavilla,2
ROTTWEILER,Mediano,33212,El Natahoyo,3
ROTTWEILER,Mediano,33212,La Calzada,2
STAFFORDSHIRE BULL TERRIER,Mediano,33211,Tremañes,3
ROTTWEILER,Mediano,33394,Deva,3
DOGO ARGENTINO,Mediano,33202,Centro,1
PITBULL TERRIER,Grande,33211,Perchera/La Braña,1
PITBULL TERRIER,Mediano,33204,Ceares/Ciares,3
AKITA INU,Mediano,33203,El Bibio,1
PRESA CANARIO,Pequeño,33390,La Pedrera,1
ROTTWEILER,Mediano,33390,Leorio/Llorio,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33391,Fano,2
ROTTWEILER,Mediano,33391,Caldones,3
AMERICAN PITBULL TERRIER,Mediano,33350,Llavandera,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33209,Ceares/Ciares,1
AKITA INU,Mediano,33205,El Llano,1
PITBULL TERRIER,Mediano,33390,Leorio/Llorio,1
ROTTWEILER,Mediano,33391,Valdornón,1
STAFFORDSHIRE BULL TERRIER,Mediano,33391,Valdornón,2
PITBULL TERRIER,Pequeño,33210,El Llano,1
DOGO ARGENTINO,Mediano,33392,L' Abadía Cenero,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33393,L' Abadía Cenero,1
ROTTWEILER,Mediano,33206,Centro,6
STAFFORDSHIRE BULL TERRIER,Mediano,33201,Centro,4
AMERICAN PITBULL TERRIER,Mediano,33211,Nuevo Gijón/La Peral,1
ROTTWEILER,Grande,33211,Perchera/La Braña,1
PITBULL TERRIER,Mediano,33212,Jove/Xove,13
STAFFORDSHIRE BULL TERRIER,Mediano,33212,Jove/Xove,2
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33204,L' Arena,1
STAFFORDSHIRE BULL TERRIER,Mediano,33205,El Coto,5
MESTIZO,Mediano,33207,Laviada,1
AKITA INU,Mediano,33207,Laviada,1
AMERICAN BULLY,Mediano,33207,Laviada,2
STAFFORDSHIRE BULL TERRIER,Mediano,33211,Montevil,5
PITBULL TERRIER,Mediano,33205,Centro,4
ROTTWEILER,Mediano,33205,El Coto,4
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33210,Pumarín,16
ROTTWEILER,Mediano,33202,Centro,2
ROTTWEILER,Grande,33392,Ruedes,1
AMERICAN PITBULL TERRIER,Mediano,33205,El Coto,2
STAFFORDSHIRE BULL TERRIER,Mediano,33208,Centro,1
STAFFORDSHIRE BULL TERRIER,Pequeño,33201,Cimavilla,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33211,Roces,6
PITBULL TERRIER,Mediano,33211,Roces,12
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33392,L' Abadía Cenero,1
PITBULL TERRIER,Mediano,33392,L' Abadía Cenero,1
ROTTWEILER,Grande,33203,Somió,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33204,Viesques,4
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33212,Moreda,1
STAFFORDSHIRE BULL TERRIER,Mediano,33212,Moreda,1
ROTTWEILER,Mediano,33209,Ceares/Ciares,1
MESTIZO,Mediano,33210,Pumarín,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33207,Centro,1
FILA BRASILEIRO,Mediano,33213,La Calzada,1
AKITA INU,Mediano,33394,Cabueñes,1
ROTTWEILER,Mediano,33394,Santurio,7
PITBULL TERRIER,Mediano,33697,Serin,2
PITBULL TERRIER,Mediano,33392,Porceyo,2
PITBULL TERRIER,Mediano,33391,Vega,1
PITBULL TERRIER,Grande,33205,El Llano,1
STAFFORDSHIRE BULL TERRIER,Mediano,33203,Cabueñes,1
AKITA INU,Mediano,33350,Vega,1
PITBULL TERRIER,Grande,33209,Nuevo Roces,1
AMERICAN BULLY,Mediano,33213,Jove/Xove,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33392,Ruedes,1
MESTIZO,Mediano,33392,Porceyo,1
PITBULL TERRIER,Mediano,33212,El Natahoyo,32
STAFFORDSHIRE BULL TERRIER,Mediano,33204,Les Mestes,2
PITBULL TERRIER,Mediano,33208,Centro,5
STAFFORDSHIRE BULL TERRIER,Mediano,33211,Nuevo Gijón/La Peral,4
DOGO ARGENTINO,Mediano,33212,Jove/Xove,1
ROTTWEILER,Mediano,33211,Nuevo Gijón/La Peral,2
DOGO ARGENTINO,Mediano,33213,La Calzada,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33210,Contrueces,4
STAFFORDSHIRE BULL TERRIER,Mediano,33205,Centro,2
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33208,El Llano,27
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33207,Laviada,8
ROTTWEILER,Mediano,33207,Laviada,2
DOGO ARGENTINO,Mediano,33205,El Coto,1
PITBULL TERRIER,Mediano,33211,Tremañes,9
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33212,Centro,1
ROTTWEILER,Mediano,33207,El Polígono,5
STAFFORDSHIRE BULL TERRIER,Mediano,33207,El Polígono,8
MESTIZO,Mediano,33211,Montevil,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33210,El Llano,14
MESTIZO,Grande,33210,Contrueces,1
ROTTWEILER,Mediano,33211,Pumarín,1
STAFFORDSHIRE BULL TERRIER,Mediano,33208,Pumarín,3
ROTTWEILER,Mediano,33209,El Coto,1
AMERICAN PITBULL TERRIER,Mediano,33204,Les Mestes,1
ROTTWEILER,Mediano,33211,Perchera/La Braña,2
AMERICAN PITBULL TERRIER,Mediano,33209,Contrueces,1
ROTTWEILER,Grande,33394,Santurio,1
STAFFORDSHIRE BULL TERRIER,Pequeño,33211,Santa Bárbara,2
AKITA INU,Mediano,33211,Santa Bárbara,1
DOGO ARGENTINO,Grande,33211,Tremañes,1
PITBULL TERRIER,Mediano,33203,El Bibio,4
STAFFORDSHIRE BULL TERRIER,Mediano,33393,L' Abadía Cenero,2
PITBULL TERRIER,Grande,33208,El Llano,1
BULL TERRIER,Mediano,33212,La Calzada,2
ROTTWEILER,Mediano,33203,El Bibio,1
STAFFORDSHIRE BULL TERRIER,Mediano,33211,Perchera/La Braña,1
PODENCO,Mediano,33212,La Calzada,1
AKITA INU,Grande,33208,El Llano,1
STAFFORDSHIRE BULL TERRIER,Mediano,33201,Cimavilla,2
MESTIZO,Mediano,33212,Moreda,1
AMERICAN PITBULL TERRIER,Mediano,33211,Tremañes,1
AKITA INU,Mediano,33202,Centro,1
ROTTWEILER,Grande,33207,El Polígono,1
AMERICAN STAFFORDSHIRE TERRIER,Grande,33211,Montevil,2
PITBULL TERRIER,Mediano,33691,Fresno,4
MESTIZO,Mediano,33202,Centro,1
AKITA INU,Mediano,33211,Roces,1
AMERICAN PITBULL TERRIER,Mediano,33211,Roces,1
POMERANIA,Pequeño,33204,Ceares/Ciares,1
AMERICAN BULLY,Mediano,33290,Jove/Xove,1
ROTTWEILER,Mediano,33299,Jove/Xove,4
AMERICAN PITBULL TERRIER,Mediano,33212,El Natahoyo,1
DOGO DE BURDEOS,Mediano,33212,El Natahoyo,1
AMERICAN PITBULL TERRIER,Mediano,33210,Pumarín,1
ROTTWEILER,Mediano,33394,Cabueñes,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33390,La Pedrera,2
STAFFORDSHIRE BULL TERRIER,Mediano,33203,Somió,6
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33202,L' Arena,10
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33201,Centro,3
PITBULL TERRIER,Mediano,33201,Centro,4
PITBULL TERRIER,Grande,33212,Jove/Xove,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33212,Jove/Xove,9
AMERICAN BULLY,Grande,33213,La Calzada,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33209,Contrueces,3
PITBULL TERRIER,Mediano,33209,Contrueces,9
STAFFORDSHIRE BULL TERRIER,Mediano,33204,L' Arena,1
ROTTWEILER,Grande,33392,Porceyo,1
STAFFORDSHIRE BULL TERRIER,Mediano,33202,L' Arena,3
PITBULL TERRIER,Mediano,33209,El Coto,9
AMERICAN BULLY,Mediano,33205,Centro,1
PITBULL TERRIER,Grande,33213,La Calzada,1
FILA BRASILEIRO,Grande,33392,Ruedes,1
PITBULL TERRIER,Mediano,33204,Les Mestes,2
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33204,Les Mestes,3
AMERICAN BULLY,Mediano,33211,Montevil,2
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33208,Centro,3
PITBULL TERRIER,Mediano,33208,Pumarín,2
DOGO ARGENTINO,Mediano,33209,El Llano,1
PITBULL TERRIER,Mediano,33212,La Calzada,8
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33203,El Bibio,3
AMERICAN BULLY,Mediano,33206,Centro,1
ROTTWEILER,Mediano,33212,Moreda,3
ROTTWEILER,Grande,33204,El Coto,2
MESTIZO,Mediano,33204,El Coto,1
AMERICAN BULLY,Mediano,33209,Contrueces,1
AMERICAN PITBULL TERRIER,Mediano,33209,El Llano,2
ROTTWEILER,Mediano,33391,Granda,3
PITBULL TERRIER,Grande,33210,Pumarín,2
PITBULL TERRIER,Mediano,33391,Fano,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33212,Veriña,1
ROTTWEILER,Mediano,33394,Castiello Bernueces,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33211,Santa Bárbara,1
FILA BRASILEIRO,Grande,33392,L' Abadía Cenero,1
MESTIZO,Mediano,33211,Roces,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33213,Veriña,2
STAFFORDSHIRE BULL TERRIER,Mediano,33394,Castiello Bernueces,1
BODEGUERO ANDALUZ,Mediano,33211,Roces,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33211,Nuevo Gijón/La Peral,1
AMERICAN BULLY,Mediano,33209,Nuevo Roces,3
AMERICAN PITBULL TERRIER,Mediano,33209,Nuevo Roces,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33209,Roces,1
ROTTWEILER,Mediano,33210,El Llano,4
DOGO ARGENTINO,Grande,33204,Les Mestes,1
PITBULL TERRIER,Mediano,33208,El Llano,50
ROTTWEILER,Mediano,33205,Centro,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33205,Centro,5
DOGO ARGENTINO,Mediano,33210,Pumarín,3
ROTTWEILER,Mediano,33210,Contrueces,1
MASTÍN,Grande,33201,Cimavilla,1
STAFFORDSHIRE BULL TERRIER,Mediano,33210,El Llano,8
DOGO ARGENTINO,Mediano,33203,L' Arena,1
ROTTWEILER,Mediano,33211,Montevil,7
AMERICAN BULLY,Mediano,33210,El Llano,1
PITBULL TERRIER,Grande,33350,Vega,1
PITBULL TERRIER,Grande,33205,El Coto,1
PASTOR ALEMÁN,Grande,33203,Somió,1
STAFFORDSHIRE BULL TERRIER,Mediano,33350,Vega,1
PITBULL TERRIER,Grande,33212,La Calzada,1
STAFFORDSHIRE BULL TERRIER,Pequeño,33203,El Bibio,1
STAFFORDSHIRE BULL TERRIER,Grande,33211,Roces,1
AKITA INU,Mediano,33211,Nuevo Gijón/La Peral,1
ROTTWEILER,Mediano,33204,El Coto,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33290,Jove/Xove,3
STAFFORDSHIRE BULL TERRIER,Grande,33211,Montevil,2
FILA BRASILEIRO,Mediano,33204,Viesques,1
STAFFORDSHIRE BULL TERRIER,Mediano,33203,El Bibio,3
ROTTWEILER,Mediano,33208,Centro,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33391,Granda,1
ROTTWEILER,Mediano,33391,Vega,1
CA DE BOU,Mediano,33391,Caldones,1
DOGO ARGENTINO,Mediano,33211,Montevil,2
STAFFORDSHIRE BULL TERRIER,Mediano,33209,Ceares/Ciares,3
AMERICAN STAFFORDSHIRE TERRIER,Pequeño,33208,El Llano,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33697,San Andrés de los Tacones,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33203,Cabueñes,3
ROTTWEILER,Mediano,33209,Nuevo Roces,4
PITBULL TERRIER,Mediano,33213,Jove/Xove,5
STAFFORDSHIRE BULL TERRIER,Mediano,33290,Jove/Xove,1
STAFFORDSHIRE BULL TERRIER,Pequeño,33212,El Natahoyo,2
PITBULL TERRIER,Mediano,33213,La Calzada,57
ROTTWEILER,Mediano,33213,La Calzada,13
PITBULL TERRIER,Mediano,33202,L' Arena,9
ROTTWEILER,Mediano,33202,L' Arena,3
ROTTWEILER,Grande,33210,Pumarín,1
AMERICAN BULLY,Mediano,33211,Nuevo Gijón/La Peral,1
PITBULL TERRIER,Mediano,33210,Contrueces,8
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33211,Perchera/La Braña,5
ROTTWEILER,Grande,33213,La Calzada,5
PITBULL TERRIER,Pequeño,33209,El Llano,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33209,El Llano,18
STAFFORDSHIRE BULL TERRIER,Mediano,33209,El Llano,14
MESTIZO,Mediano,33209,El Llano,4
PITBULL TERRIER,Mediano,33209,Ceares/Ciares,6
ROTTWEILER,Mediano,33392,Porceyo,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33209,El Coto,8
PITBULL TERRIER,Mediano,33290,Jove/Xove,8
STAFFORDSHIRE BULL TERRIER,Pequeño,33207,El Polígono,1
PITBULL TERRIER,Mediano,33204,El Coto,10
ROTTWEILER,Mediano,33210,Pumarín,7
PITBULL TERRIER,Mediano,33203,Somió,7
PITBULL TERRIER,Mediano,33201,Cimavilla,8
AMERICAN BULLY,Mediano,33208,Centro,1
AMERICAN BULLY,Mediano,33210,Contrueces,2
PITBULL TERRIER,Mediano,33202,Centro,4
AKITA INU,Mediano,33209,Contrueces,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33209,Viesques,2
DOGO ARGENTINO,Mediano,33208,El Llano,2
STAFFORDSHIRE BULL TERRIER,Mediano,33211,Santa Bárbara,2
ROTTWEILER,Mediano,33211,Roces,4
PITBULL TERRIER,Grande,33210,El Llano,1
DOGO ARGENTINO,Mediano,33208,Pumarín,1
AMERICAN PITBULL TERRIER,Mediano,33350,Vega,1
ROTTWEILER,Mediano,33350,Vega,5
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33202,Centro,4
ROTTWEILER,Grande,33211,Montevil,1
PITBULL TERRIER,Grande,33212,El Natahoyo,1
AMERICAN PITBULL TERRIER,Mediano,33204,Ceares/Ciares,1
MESTIZO,Mediano,33212,El Natahoyo,1
AMERICAN PITBULL TERRIER,Mediano,33208,Centro,1
STAFFORDSHIRE BULL TERRIER,Mediano,33691,Fresno,1
ROTTWEILER,Mediano,33691,Fresno,1
AMERICAN BULLY,Mediano,33204,El Coto,3
ROTTWEILER,Mediano,33201,Cimavilla,1
PITBULL TERRIER,Mediano,33350,Samartin de Güerces,6
DOGO ARGENTINO,Grande,33207,Laviada,1
STAFFORDSHIRE BULL TERRIER,Mediano,33394,Deva,1
STAFFORDSHIRE BULL TERRIER,Mediano,33209,Roces,1
PITBULL TERRIER,Mediano,33204,Viesques,1
AMERICAN BULLY,Mediano,33394,Deva,3
AKITA INU,Grande,33209,Ceares/Ciares,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33350,Samartin de Güerces,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33691,Veriña,2
MASTÍN,Mediano,33350,Llavandera,1
STAFFORDSHIRE BULL TERRIER,Mediano,33209,Nuevo Roces,17
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33209,Nuevo Roces,14
MESTIZO,Mediano,33213,Jove/Xove,1
MESTIZO,Mediano,33211,Roces (rural),1
PITBULL TERRIER,Mediano,33206,Centro,8
BORDER COLLIE,Mediano,33203,L' Arena,1
ROTTWEILER,Mediano,33201,Centro,1
PITBULL TERRIER,Mediano,33210,El Llano,19
PITBULL TERRIER,Grande,33211,Nuevo Gijón/La Peral,1
STAFFORDSHIRE BULL TERRIER,Mediano,33212,El Natahoyo,7
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33212,El Natahoyo,16
PITBULL TERRIER,Mediano,33211,Perchera/La Braña,7
MESTIZO,Mediano,33213,La Calzada,3
STAFFORDSHIRE BULL TERRIER,Mediano,33209,Contrueces,2
STAFFORDSHIRE BULL TERRIER,Mediano,33207,Laviada,11
PITBULL TERRIER,Mediano,33209,El Llano,27
ROTTWEILER,Mediano,33209,El Llano,9
PITBULL TERRIER,Mediano,33207,El Polígono,19
ROTTWEILER,Mediano,33203,Somió,15
STAFFORDSHIRE BULL TERRIER,Mediano,33209,El Coto,4
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33211,Tremañes,7
PODENCO,Pequeño,33204,El Coto,1
MESTIZO,Mediano,33209,El Coto,2
STAFFORDSHIRE BULL TERRIER,Mediano,33210,Pumarín,9
MASTÍN ESPAÑOL,Mediano,33210,Contrueces,1
ROTTWEILER,Grande,33210,Contrueces,1
PITBULL TERRIER,Mediano,33691,Veriña,1
AMERICAN PITBULL TERRIER,Mediano,33213,La Calzada,2
ROTTWEILER,Grande,33209,Roces,1
STAFFORDSHIRE BULL TERRIER,Mediano,33203,L' Arena,5
PITBULL TERRIER,Grande,33208,Centro,1
PASTOR ALEMÁN,Mediano,33213,La Calzada,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33208,Pumarín,2
AMERICAN BULLY,Mediano,33209,El Coto,2
PITBULL TERRIER,Mediano,33211,Santa Bárbara,2
PITBULL TERRIER,Mediano,33350,Vega,5
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33350,Vega,4
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33203,Somió,4
STAFFORDSHIRE BULL TERRIER,Mediano,33211,Roces,8
ROTTWEILER,Mediano,33203,L' Arena,1
STAFFORDSHIRE BULL TERRIER,Mediano,33205,El Llano,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33212,La Calzada,5
DOGO ARGENTINO,Mediano,33204,El Coto,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33204,Ceares/Ciares,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33299,Jove/Xove,2
PITBULL TERRIER,Mediano,33350,Llavandera,2
ROTTWEILER,Mediano,33350,Llavandera,2
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33350,Llavandera,2
STAFFORDSHIRE BULL TERRIER,Mediano,33391,Vega,1
PITBULL TERRIER,Pequeño,33391,Fano,1
PITBULL TERRIER,Mediano,33394,Deva,1
AMERICAN BULLY,Mediano,33299,Jove/Xove,2
PITBULL TERRIER,Mediano,33299,Jove/Xove,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33390,Leorio/Llorio,2
ROTTWEILER,Mediano,33392,L' Abadía Cenero,2
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33391,Caldones,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33691,Puao,3
PITBULL TERRIER,Mediano,33209,Nuevo Roces,11
PITBULL TERRIER,Mediano,33211,Roces (rural),1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33211,Roces (rural),1
